OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
000 Hele landet;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;5475791
084 Region Hovedstaden;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;1645825
101 København;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;509861
147 Frederiksberg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;93444
155 Dragør;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;13261
185 Tårnby;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;40016
165 Albertslund;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;27602
151 Ballerup;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;47116
153 Brøndby;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;33831
157 Gentofte;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;68913
159 Gladsaxe;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;62562
161 Glostrup;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;20673
163 Herlev;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;26567
167 Hvidovre;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;49380
169 Høje-Taastrup;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;47158
183 Ishøj;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;20687
173 Lyngby-Taarbæk;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;51449
175 Rødovre;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;36144
187 Vallensbæk;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;12399
201 Allerød;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;23493
240 Egedal;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;40533
210 Fredensborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;39240
250 Frederikssund;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;44102
190 Furesø;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;37667
270 Gribskov;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;40512
260 Halsnæs;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;30824
217 Helsingør;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;60844
219 Hillerød;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;46568
223 Hørsholm;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;24197
230 Rudersdal;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;53869
400 Bornholm;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;42817
411 Christiansø;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;96
085 Region Sjælland;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;819427
253 Greve;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;47773
259 Køge;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;56637
350 Lejre;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;26603
265 Roskilde;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;80687
269 Solrød;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;20759
320 Faxe;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;35418
376 Guldborgsund;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;63496
316 Holbæk;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;69010
326 Kalundborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;49743
360 Lolland;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;48219
370 Næstved;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;80732
306 Odsherred;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;33129
