Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,Afghanistan,AFG,198086263.3245
Military expenditure (current USD),MS.MIL.XPND.CD,Albania,ALB,180488725.123503
Military expenditure (current USD),MS.MIL.XPND.CD,Algeria,DZA,9583724288.3703
Military expenditure (current USD),MS.MIL.XPND.CD,American Samoa,ASM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Andorra,AND,..
Military expenditure (current USD),MS.MIL.XPND.CD,Angola,AGO,1983613748.00089
Military expenditure (current USD),MS.MIL.XPND.CD,Antigua and Barbuda,ATG,..
Military expenditure (current USD),MS.MIL.XPND.CD,Argentina,ARG,4144991771.42212
Military expenditure (current USD),MS.MIL.XPND.CD,Armenia,ARM,608854649.862522
Military expenditure (current USD),MS.MIL.XPND.CD,Aruba,ABW,..
Military expenditure (current USD),MS.MIL.XPND.CD,Australia,AUS,26711834224.7385
Military expenditure (current USD),MS.MIL.XPND.CD,Austria,AUT,3367460382.82555
Military expenditure (current USD),MS.MIL.XPND.CD,Azerbaijan,AZE,1708941176.47059
Military expenditure (current USD),MS.MIL.XPND.CD,"Bahamas, The",BHS,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bahrain,BHR,1396808510.6383
Military expenditure (current USD),MS.MIL.XPND.CD,Bangladesh,BGD,3894695211.01616
Military expenditure (current USD),MS.MIL.XPND.CD,Barbados,BRB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belarus,BLR,715166688.689712
Military expenditure (current USD),MS.MIL.XPND.CD,Belgium,BEL,4959692173.31775
Military expenditure (current USD),MS.MIL.XPND.CD,Belize,BLZ,23083112.5
Military expenditure (current USD),MS.MIL.XPND.CD,Benin,BEN,90212425.9945842
Military expenditure (current USD),MS.MIL.XPND.CD,Bermuda,BMU,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bhutan,BTN,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bolivia,BOL,618842083.148114
Military expenditure (current USD),MS.MIL.XPND.CD,Bosnia and Herzegovina,BIH,221131597.126194
Military expenditure (current USD),MS.MIL.XPND.CD,Botswana,BWA,529481041.984864
Military expenditure (current USD),MS.MIL.XPND.CD,Brazil,BRA,27766427104.014
Military expenditure (current USD),MS.MIL.XPND.CD,British Virgin Islands,VGB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Brunei Darussalam,BRN,346588691.003794
Military expenditure (current USD),MS.MIL.XPND.CD,Bulgaria,BGR,1095591046.96115
Military expenditure (current USD),MS.MIL.XPND.CD,Burkina Faso,BFA,312467610.986353
Military expenditure (current USD),MS.MIL.XPND.CD,Burundi,BDI,65436595.2627955
Military expenditure (current USD),MS.MIL.XPND.CD,Cabo Verde,CPV,10714071.127336
Military expenditure (current USD),MS.MIL.XPND.CD,Cambodia,KHM,543205183.272952
Military expenditure (current USD),MS.MIL.XPND.CD,Cameroon,CMR,429892180.57235
Military expenditure (current USD),MS.MIL.XPND.CD,Canada,CAN,21620598711.9827
Military expenditure (current USD),MS.MIL.XPND.CD,Cayman Islands,CYM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Central African Republic,CAF,30951301.3185927
Military expenditure (current USD),MS.MIL.XPND.CD,Chad,TCD,232930989.808257
Military expenditure (current USD),MS.MIL.XPND.CD,Channel Islands,CHI,..
Military expenditure (current USD),MS.MIL.XPND.CD,Chile,CHL,5570724562.66561
Military expenditure (current USD),MS.MIL.XPND.CD,China,CHN,249996900635.144
Military expenditure (current USD),MS.MIL.XPND.CD,Colombia,COL,10602860966.7378
Military expenditure (current USD),MS.MIL.XPND.CD,Comoros,COM,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Dem. Rep.",COD,295348364.63547
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Rep.",COG,292260465.250187
Military expenditure (current USD),MS.MIL.XPND.CD,Costa Rica,CRI,0
Military expenditure (current USD),MS.MIL.XPND.CD,Cote d'Ivoire,CIV,607848217.884494
Military expenditure (current USD),MS.MIL.XPND.CD,Croatia,HRV,889523365.341169
Military expenditure (current USD),MS.MIL.XPND.CD,Cuba,CUB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Curacao,CUW,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cyprus,CYP,381879772.907003
Military expenditure (current USD),MS.MIL.XPND.CD,Czech Republic,CZE,2710017583.30521
Military expenditure (current USD),MS.MIL.XPND.CD,Denmark,DNK,4228194254.02249
Military expenditure (current USD),MS.MIL.XPND.CD,Djibouti,DJI,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominica,DMA,..
Military expenditure (current USD),MS.MIL.XPND.CD,Dominican Republic,DOM,602522387.042183
Military expenditure (current USD),MS.MIL.XPND.CD,Ecuador,ECU,2549400000
Military expenditure (current USD),MS.MIL.XPND.CD,"Egypt, Arab Rep.",EGY,3109997891.99423
Military expenditure (current USD),MS.MIL.XPND.CD,El Salvador,SLV,266460000
Military expenditure (current USD),MS.MIL.XPND.CD,Equatorial Guinea,GNQ,..
Military expenditure (current USD),MS.MIL.XPND.CD,Eritrea,ERI,..
Military expenditure (current USD),MS.MIL.XPND.CD,Estonia,EST,618486125.373275
Military expenditure (current USD),MS.MIL.XPND.CD,Eswatini,SWZ,87787078.5658275
Military expenditure (current USD),MS.MIL.XPND.CD,Ethiopia,ETH,496621069.677034
Military expenditure (current USD),MS.MIL.XPND.CD,Faroe Islands,FRO,..
Military expenditure (current USD),MS.MIL.XPND.CD,Fiji,FJI,48412174.6900704
Military expenditure (current USD),MS.MIL.XPND.CD,Finland,FIN,3849013845.1188
Military expenditure (current USD),MS.MIL.XPND.CD,France,FRA,63799676593.1329
Military expenditure (current USD),MS.MIL.XPND.CD,French Polynesia,PYF,..
Military expenditure (current USD),MS.MIL.XPND.CD,Gabon,GAB,261217395.059596
Military expenditure (current USD),MS.MIL.XPND.CD,"Gambia, The",GMB,11487224.9434107
Military expenditure (current USD),MS.MIL.XPND.CD,Georgia,GEO,316508368.08463
Military expenditure (current USD),MS.MIL.XPND.CD,Germany,DEU,49470627810.6299
Military expenditure (current USD),MS.MIL.XPND.CD,Ghana,GHA,218444253.592195
Military expenditure (current USD),MS.MIL.XPND.CD,Gibraltar,GIB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Greece,GRC,5227152013.0307
Military expenditure (current USD),MS.MIL.XPND.CD,Greenland,GRL,..
Military expenditure (current USD),MS.MIL.XPND.CD,Grenada,GRD,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guam,GUM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guatemala,GTM,278420891.52709
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea,GIN,209150578.316794
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea-Bissau,GNB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guyana,GUY,59809426.6029784
Military expenditure (current USD),MS.MIL.XPND.CD,Haiti,HTI,79690.8881656554
Military expenditure (current USD),MS.MIL.XPND.CD,Honduras,HND,410414895.120735
Military expenditure (current USD),MS.MIL.XPND.CD,"Hong Kong SAR, China",HKG,..
Military expenditure (current USD),MS.MIL.XPND.CD,Hungary,HUN,1642338440.41211
Military expenditure (current USD),MS.MIL.XPND.CD,Iceland,ISL,0
Military expenditure (current USD),MS.MIL.XPND.CD,India,IND,66510289108.4743
Military expenditure (current USD),MS.MIL.XPND.CD,Indonesia,IDN,7437197347.73864
Military expenditure (current USD),MS.MIL.XPND.CD,"Iran, Islamic Rep.",IRN,13194151136.687
Military expenditure (current USD),MS.MIL.XPND.CD,Iraq,IRQ,6317977150.05254
Military expenditure (current USD),MS.MIL.XPND.CD,Ireland,IRL,1207582356.62099
